ID;BENEFICIAIRE;MONTANT;ID_DEPUTE;NOM_DEPUTE;GROUPE;DEP;
8090;Foyer socio-éducatif du lycée d'Arsonval;5000;687214;BERRIOS Sylvain;UMP;Val-de-Marne;
8091;Foyers ruraux;5000;607892;ALLOSSERY Jean-Pierre;SRC;Nord;
8092;Foyers sociaux éducatifs (collège Jean Campin-la Ferté Gaucher);1000;1695;JACOB Christian;UMP;Seine-et-Marne;
8093;Fraisses lecture;500;267429;CINIERI Dino;UMP;Loire;
8094;FRAMAFAD;3000;267450;DELATTE Rémi;UMP;Côte-d'Or;
8095;Français du monde-ADFE;27000;610968;AMIRSHAHI Pouria;SRC;Français établis hors de France;
8096;France Alzheimer 15e ;2000;230329;LAMOUR Jean-François;UMP;Paris;
8097;France Alzheimer Val de Marne;1500;746;CARREZ Gilles;UMP;Val-de-Marne;
8098;FRANCE ALZHEIMER VAR;3500;267378;LEVY Geneviève;UMP;Var;
8099;France Amérique Latine;4000;610860;CORONADO Sergio;ECOLO;Français établis hors de France;
8100;France Amérique latine Bordeaux-Gironde;1000;2045;MAMÈRE Noël;ECOLO;Gironde;
8101;France bénévolat Yonne;1000;267785;LARRIVE Guillaume;UMP;Yonne;
8102;France Canada;20000;1790;LAFFINEUR Marc;UMP;Maine-et-Loire;
8103;France Parkinson Oise;1000;2048;MANCEL Jean-François;UMP;Oise;
8104;Franco-British Council;3000;610873;LEMAIRE Axelle;SRC;Français établis hors de France;
8105;Francs Joueurs;3000;2801;TERROT Michel;UMP;Rhône;
8106;Fraroz;7000;332523;DALLOZ Marie Christine;UMP;Jura;
8107;Fraternité Alicante;8000;610905;LEROY Arnaud;SRC;Français établis hors de France;
8108;Fraternité du Bon Larron;1500;345937;POISSON Jean-Frédéric;UMP;Yvelines;
8110;FREE'SON;5000;607603;LE RAY Philippe;UMP;Morbihan;
8109;FreeSon;1500;332796;MENARD Michel;SRC;Loire-Atlantique;
8111;FREGATE (Association Sportive Culturelle, Artistique et de Loisirs);7500;610615;CHALUS Ary;RRDP;Guadeloupe;
8112;French International Program Association Miami;7000;610850;NARASSIGUIN Corinne;SRC;Français établis hors de France;
8113;French School of Detroit Parents Inc;1000;610850;NARASSIGUIN Corinne;SRC;Français établis hors de France;
8114;Fréquence Uzège;3900;606258;CAVARD Christophe;ECOLO;Gard;
8115;Frères d'armes, honneur et patrie;5000;334768;TOURAINE Jean-Louis;SRC;Rhône;
8116;Fresnes Culture Loisirs;1000;243;ALBARELLO Yves;UMP;Seine-et-Marne;
8117;Frontignan Thau Handball;10000;606631;ASSAF Christian;SRC;Hérault;
8118;FSE collège Jules Romains;2000;1263;ESTROSI Christian;UMP;Alpes-Maritimes;
8119;FSE Collège Mistral;2000;1263;ESTROSI Christian;UMP;Alpes-Maritimes;
8120;FSE Collège Onet;1500;267266;CENSI Yves;UMP;Aveyron;
8121;FSE Collège Roger Ruel;1000;267285;WAUQUIEZ Laurent;UMP;Haute-Loire;
8122;FUNK YOU;5000;332305;GILLE Jean-Patrick;SRC;Indre-et-Loire;
8123;FUS Brin-sur-Seille;2000;607509;KHIROUNI Chaynesse;SRC;Meurthe-et-Moselle;
8124;Futsal Club Bethunois;4000;608120;SAINT-ANDRÉ Stéphane;RRDP;Pas-de-Calais;
8125;FVO Handball;1000;267429;CINIERI Dino;UMP;Loire;
8126;G.E.P.E;1500;609726;AUBERT Julien;UMP;Vaucluse;
8127;Gaoha'a;10000;693008;POLUTÉLÉ Napole;SRC;Wallis-et-Futuna;
8128;Gap Science Animation;3000;605143;BERGER Karine;SRC;Hautes-Alpes;
8129;Gapet' de Loye sur Arnon;2000;1401;GALUT Yann;SRC;Cher;
8130;Gard y Goût;5000;606258;CAVARD Christophe;ECOLO;Gard;
8131;GARDER La FORME ;5000;331442;REYNIER Franck ;UDI;Drôme;
8132;Gascogna Terra;5000;508;BIEMOURET Gisèle;SRC;Gers;
8133;GAV;1500;856;CHERPION Gérard;UMP;Vosges;
8134;Gazelec Ski;3000;1263;ESTROSI Christian;UMP;Alpes-Maritimes;
8135;Gazelec Sports Côte d'Azur;1500;330240;CIOTTI Eric;UMP;Alpes-Maritimes;
8136;Gazelec Sports Côte d'Azur;3000;1263;ESTROSI Christian;UMP;Alpes-Maritimes;
8137;Génération Paul Valéry;3500;606545;ROUMÉGAS Jean-Louis;ECOLO;Hérault;
8138;Gensac promotion ;1000;606507;BOUDIE Florent;SRC;Gironde;
8139;GERA;1000;2952;WARSMANN Jean-Luc;UMP;Ardennes;
8140;GERBEROY;1348;2048;MANCEL Jean-François;UMP;Oise;
8141;GHANA SOLID ART;1000;2952;WARSMANN Jean-Luc;UMP;Ardennes;
8142;GIE : Artisanat de Wallis et Futuna;16666;610824;VERGÉ David;SRC;Wallis-et-Futuna;
8143;Giens 1900;2000;1483;GIRAN Jean-Pierre;UMP;Var;
8144;Gipsy Catalans Gely Figuerolles;10500;606555;LE DAIN Anne-Yvonne;SRC;Hérault;
8145;GIZEUX;10000;667;BRIAND Philippe;UMP;Indre-et-Loire;
8146;GLAD St Dider en Velay;1000;267285;WAUQUIEZ Laurent;UMP;Haute-Loire;
8147;Glawzekh Dart's Club;1000;607603;LE RAY Philippe;UMP;Morbihan;
8148;GLFMM;2000;330684;BOYER Valérie;UMP;Bouches-du-Rhône;
8149;GMA ;5000;608186;AUROI Danielle;ECOLO;Puy-de-Dôme;
8150;Godillot vagabond;1000;334906;MEUNIER Philippe;UMP;Rhône;
8151;Golf de l'Ariège ;3000;340432;FAURÉ Alain;SRC;Ariège;
8152;Golf Saint Thomas;1000;267457;ABOUD Élie;UMP;Hérault;
8153;Good Friends;1500;610830;GIBBES Daniel;UMP;Saint-Barthélemy et Saint-Martin;
8154;Gourin Triathlon  Duathlon";3000;607632;NOGUES Philippe;SRC;Morbihan;
8155;GOUVILLE - Jacques ESPRIT;1000;331481;LE MAIRE Bruno;UMP;Eure;
8156;GOYA;1000;223837;BROCHAND Bernard;UMP;Alpes-Maritimes;
8157;GR38;1000;342415;BATTISTEL Marie-Noëlle;SRC;Isère;
8158;GRAHS;7000;2099;MARTIN-LALANDE Patrice;UMP;Loir-et-Cher;
8159;Graine d’Eveil (Maison d’assistants maternels)";4000;267042;FAVENNEC Yannick ;UDI;Mayenne;
8160;Graines de solidarité;2000;2045;MAMÈRE Noël;ECOLO;Gironde;
8161;Graines IDF;3000;609016;BAUPIN Denis;ECOLO;Paris;
8162;Grains d'ici;2000;330357;DUSSOPT Olivier;SRC;Ardèche;
8163;Grand  Cercle de la Colombophilie du Nord;1500;267762;DECOOL Jean-Pierre;UMP;Nord;
8164;Grand Orchestre  G.O.M;1000;1459;GERARD Bernard;UMP;Nord;
8165;Grange aux Paysages d'Alsace Bossue;1000;608416;HETZEL Patrick;UMP;Bas-Rhin;
