ID;BENEFICIAIRE;MONTANT;ID_DEPUTE;NOM_DEPUTE;GROUPE;DEP;
1;100% sport et loisirs;1000;267429;CINIERI Dino;UMP;Loire;
2;1496° Section des Médaillés Militaires;1000;267512;MARC Alain;UMP;Aveyron;
3;1686° Section des Médaillés Militaires Meyenheim quartier Dio;1000;267013;SORDI Michel;UMP;Haut-Rhin;
4;2000 Danses;2000;336439;CLEMENT Jean-Michel;SRC;Vienne;
5;35th  « Santa Fe » Division in Normandy;1500;266797;GOSSELIN Philippe;UMP;Manche;
6;37è parallèle;14000;332305;GILLE Jean-Patrick;SRC;Indre-et-Loire;
7;4Chem1 Evolution;4000;1579;GUIGOU Elisabeth;SRC;Seine-Saint-Denis;
8;4H Tarare;1000;334843;VERCHERE Patrice;UMP;Rhône;
9;6ème continent;5000;334768;TOURAINE Jean-Louis;SRC;Rhône;
10;8 POOL PASSION ARDENNES;1000;2952;WARSMANN Jean-Luc;UMP;Ardennes;
11;A C B;2000;1029;DEFLESSELLES Bernard;UMP;Bouches-du-Rhône;
12;A chacun ses vacances;3000;1310;FILLON François;UMP;Paris;
13;A P E L   Ecole Saint Joseph;1000;267512;MARC Alain;UMP;Aveyron;
14;A petits pas;2000;267246;HEINRICH Michel;UMP;Vosges;
15;A Portée de Voix;1000;331567;DE LA RAUDIERE Laure;UMP;Eure-et-Loir;
16;A portée de Voix;3000;346876;SOLERE Thierry;UMP;Hauts-de-Seine;
17;A Travers Chant;1000;334654;STRAUMANN Eric;UMP;Haut-Rhin;
18;A votre Service;1000;1857;LAZARO Thierry;UMP;Nord;
19;A.A.S.C.O.;10000;;
20;A.A.S.D.A.F;2000;1459;GERARD Bernard;UMP;Nord;
21;A.B.C. Danse;1000;1031;DEGAUCHY Lucien;UMP;Oise;
22;A.C. Saint-Robert- club de football N° d'affiliation FFF: 518964 ;5000;643145;VAINQUEUR-CHRISTOPHE  Hélène;SRC;Guadeloupe;
24;A.C.C.A;2000;2084;MARLEIX Alain;UMP;Cantal;
25;A.C.C.A;3000;2084;MARLEIX Alain;UMP;Cantal;
26;A.C.C.A;5000;2084;MARLEIX Alain;UMP;Cantal;
28;A.C.C.A de Cette-Eygun;2000;1838;LASSALLE Jean;NI;Pyrénées-Atlantiques;
29;A.C.C.C;3000;267260;POLETTI Bérengère;UMP;Ardennes;
30;A.C.E.L des Ternes;4000;1020;DEBRE Bernard;UMP;Paris;
31;A.D.E.T.H.E. Services;1000;267886;PONIATOWSKI Axel;UMP;Val-d'Oise;
32;A.D.P.S.P;1000;334149;FASQUELLE Daniel;UMP;Pas-de-Calais;
33;A.F.T.C;1000;267551;LAMBLIN Jacques;UMP;Meurthe-et-Moselle;
34;A.F.T.C de Franche-Comté;1000;267204;SERMIER Jean-Marie;UMP;Jura;
35;A.I.R.S.;10000;;
36;A.J.P;1500;856;CHERPION Gérard;UMP;Vosges;
37;A.L.C - C.A.L.C;2500;267762;DECOOL Jean-Pierre;UMP;Nord;
38;A.N.A.C.R  Cluses;1000;608851;DION Sophie;UMP;Haute-Savoie;
39;A.P.A.F.E.D Association pour l'Accueil des Femmes en Difficulté;40000;1789;LACUEY Conchita;SRC;Gironde;
40;A.P.E Entraide de la Figonne;2000;330684;BOYER Valérie;UMP;Bouches-du-Rhône;
41;A.P.E La Pradélie;1000;267512;MARC Alain;UMP;Aveyron;
42;A.P.E.E.E.;10000;;
43;A.P.E.L de l'école Saint-Joseph;2500;267762;DECOOL Jean-Pierre;UMP;Nord;
44;A.P.E.L du Saint Affricain;1000;267512;MARC Alain;UMP;Aveyron;
45;A.P.E.L Marie Immaculée;1000;267512;MARC Alain;UMP;Aveyron;
46;A.P.E.M.R.D  ";1000;267762;DECOOL Jean-Pierre;UMP;Nord;
47;A.P.F ;1500;1483;GIRAN Jean-Pierre;UMP;Var;
48;A.P.I.J;3000;2664;SALEN Paul;UMP;Loire;
49;A.P.L.S;2000;1459;GERARD Bernard;UMP;Nord;
50;A.P.P.V.P.A;3000;609365;GUAINO Henri;UMP;Yvelines;
51;A.P.R.E.;1000;267886;PONIATOWSKI Axel;UMP;Val-d'Oise;
52;A.R.B.R.E. (Association de Restinclières et Beaulieu pour le Respect de l'Environnement);1000;606573;DOMBRE COSTE Fanny;SRC;Hérault;
53;A.R.E.J.;1000;267886;PONIATOWSKI Axel;UMP;Val-d'Oise;
54;A.R.T.S Paillettes 2000;1000;1574;GUIBAL Jean-Claude;UMP;Alpes-Maritimes;
55;A.S Neunkirch;3000;267057;LETT Céleste;UMP;Moselle;
56;A.S. Collège Sisley;5000;;
57;A.S. La Madeleine Football;23000;267728;PRIOU Christophe;UMP;Loire-Atlantique;
58;A.S.A.L;2000;267204;SERMIER Jean-Marie;UMP;Jura;
59;A.S.I.A.;30000;337633;GIRARDIN Annick;RRDP;Saint-Pierre-et-Miquelon;
60;A.S.M.;45000;337633;GIRARDIN Annick;RRDP;Saint-Pierre-et-Miquelon;
61;A.S.P Ensemble;1500;856;CHERPION Gérard;UMP;Vosges;
62;A.T.O.S;1000;267499;GUILLOTEAU Christophe;UMP;Rhône;
63;A.V.B.;10000;609691;FOURNIER-ARMAND Michèle;SRC;Vaucluse;
64;AAPEL Autonomie;6000;330981;PINVILLE Martine;SRC;Charente;
65;AAPMA La truite du Val d'Amour;1000;267204;SERMIER Jean-Marie;UMP;Jura;
66;AAPPMA;1000;2952;WARSMANN Jean-Luc;UMP;Ardennes;
67;AAPPMA de Dinsheim-sur-Bruche;1000;266774;FURST Laurent;UMP;Bas-Rhin;
68;AAPPMA La carpe du Valois;1000;1031;DEGAUCHY Lucien;UMP;Oise;
69;AAPPMA La Truite du Lignon;1000;267285;WAUQUIEZ Laurent;UMP;Haute-Loire;
70;AAVIV;5000;267378;LEVY Geneviève;UMP;Var;
71;ABA Attitude;1000;606478;FOULON Yves;UMP;Gironde;
73;ABC Bibliothèque;2000;606888;BARBIER Jean-Pierre;UMP;Isère;
74;ABC InterSports;3000;610830;GIBBES Daniel;UMP;Saint-Barthélemy et Saint-Martin;
72;ABC – Association Becquart - Canon d'Or;1000;1001;DAUBRESSE Marc-Philippe;UMP;Nord;
75;ABSM;6000;610830;GIBBES Daniel;UMP;Saint-Barthélemy et Saint-Martin;
76;ACAC;1500;609365;GUAINO Henri;UMP;Yvelines;
77;Académie d'Aïkido d'Echalas;1000;267591;FENECH Georges;UMP;Rhône;
78;Académie de Boxe "Rachid El Hadak";10000;332614;JUANICO Régis;SRC;Loire;
79;ACAJA;8000;1020;DEBRE Bernard;UMP;Paris;
80;ACAPLM;2000;330684;BOYER Valérie;UMP;Bouches-du-Rhône;
81;ACB Escrime, Présidente Mme Mauricette Lefevre;4000;268019;LAGARDE Jean-Christophe ;UDI;Seine-Saint-Denis;
82;ACCA;1000;2345;PELISSARD Jacques;UMP;Jura;
83;ACCA;1000;344492;SIRE Fernand;UMP;Pyrénées-Orientales;
84;ACCA Boisset Saint Priest;500;267429;CINIERI Dino;UMP;Loire;
85;ACCA de Beaulieu;1000;267285;WAUQUIEZ Laurent;UMP;Haute-Loire;
86;ACCA de Chambles;500;267429;CINIERI Dino;UMP;Loire;
87;ACCA de Fontenelle;1500;267327;MESLOT Damien;UMP;Territoire-de-Belfort;
88;ACCA du Chambon;1000;267285;WAUQUIEZ Laurent;UMP;Haute-Loire;
89;ACCA Menton;1000;1574;GUIBAL Jean-Claude;UMP;Alpes-Maritimes;
90;ACCA St Sauveur;2500;331973;GOT Pascale;SRC;Gironde;
91;ACCA Tarentaise;500;267429;CINIERI Dino;UMP;Loire;
92;ACCA VINCA;3000;608328;NEUVILLE Ségolène;SRC;Pyrénées-Orientales;
93;ACCA Yssingeaux;1000;267285;WAUQUIEZ Laurent;UMP;Haute-Loire;
94;ACCES;2000;1459;GERARD Bernard;UMP;Nord;
95;Acceuil culture et patrimoine;1000;267429;CINIERI Dino;UMP;Loire;
96;Accompagnement de chercheurs d'emplois (ACE);1000;1020;DEBRE Bernard;UMP;Paris;
97;Accompagnement Migrant Intégration;5000;332747;de RUGY François;ECOLO;Loire-Atlantique;
98;Accords;2000;608276;ALAUX Sylviane;SRC;Pyrénées-Atlantiques;
99;Accueil 15;2000;230329;LAMOUR Jean-François;UMP;Paris;
100;Accueil des Charmilles;10000;608672;THÉVENOUD Thomas;SRC;Saône-et-Loire;
101;Accueil des villes française Paris 17+8+9;4000;1020;DEBRE Bernard;UMP;Paris;
102;Accueil des villes françaises;2000;230329;LAMOUR Jean-François;UMP;Paris;
103;Accueil femme solidarités;1000;2667;SALLES Rudy  ;UDI;Alpes-Maritimes;
104;Accueil Femmes Solidarité;2500;330240;CIOTTI Eric;UMP;Alpes-Maritimes;
105;ACE;2000;609365;GUAINO Henri;UMP;Yvelines;
109;ACE'TELLE;1000;267327;MESLOT Damien;UMP;Territoire-de-Belfort;
106;ACEL Notre Dame de Bonne Nouvelle;1500;1931;LELLOUCHE Pierre;UMP;Paris;
107;ACEPP 38-73;3000;606910;BONNETON Michèle;ECOLO;Isère;
108;ACEPP 38-73 Association des Collectifs Enfants Parents Isère-Savoie;3000;332384;ISSINDOU Michel;SRC;Isère;
110;ACEVE;2000;267378;LEVY Geneviève;UMP;Var;
111;ACJBB;19000;346876;SOLERE Thierry;UMP;Hauts-de-Seine;
112;ACL de Zimmersheim;1000;267227;GROSSKOST Arlette;UMP;Haut-Rhin;
113;ACLER;2000;609365;GUAINO Henri;UMP;Yvelines;
114;ACMRB;5000;609292;RIHAN CYPEL Eduardo;SRC;Seine-et-Marne;
115;ACO Firminy;1000;267429;CINIERI Dino;UMP;Loire;
116;ACPG-CATM et Veuves;1000;1031;DEGAUCHY Lucien;UMP;Oise;
117;ACPIIE;4000;609016;BAUPIN Denis;ECOLO;Paris;
118;ACPPC Prouvençau de Cavaillon;2000;336316;BOUCHET Jean-Claude;UMP;Vaucluse;
119;ACS gym;1000;342415;BATTISTEL Marie-Noëlle;SRC;Isère;
120;ACS Herserange;5000;1243;ECKERT Christian;SRC;Meurthe-et-Moselle;
121;ACSFIRT;3000;267378;LEVY Geneviève;UMP;Var;
122;ACSFIRT;3000;267506;VITEL Philippe;UMP;Var;
123;ACSSE - Association Culturelle Sportive et Sociale d'Ergersheim;1000;266774;FURST Laurent;UMP;Bas-Rhin;
124;ACT;1000;2430;PLISSON Philippe;SRC;Gironde;
125;Acta Johannis;3500;1931;LELLOUCHE Pierre;UMP;Paris;
126;Acte 2 Théâtre;7000;334755;MUET Pierre-Alain;SRC;Rhône;
127;Actifs Pitchoun;1000;951;COUVE Jean-Michel;UMP;Var;
128;Action 15 Balard;3000;1521;GOUJON Philippe;UMP;Paris;
129;Action Barbès;3000;608920;DAGOMA Seybah;SRC;Paris;
130;Action Jeune;9000;267965;LEPETIT Annick;SRC;Paris;
131;Action Sociale Mulatine;5000;2801;TERROT Michel;UMP;Rhône;
132;Action XV Balard;2000;230329;LAMOUR Jean-François;UMP;Paris;
133;Active ton potentiel ;3500;1931;LELLOUCHE Pierre;UMP;Paris;
134;Ad Libitum;2000;606910;BONNETON Michèle;ECOLO;Isère;
149;Ad'hoc Production;6000;606258;CAVARD Christophe;ECOLO;Gard;
135;ADAC Montorgueil;3000;1931;LELLOUCHE Pierre;UMP;Paris;
136;ADACAR de l’Alta Rocca ;2000;267689;de ROCCA SERRA Camille;UMP;Corse-du-Sud;
137;ADAFE;3000;2952;WARSMANN Jean-Luc;UMP;Ardennes;
138;ADAPA DU CONFOLENTAIS;2500;1809;LAMBERT Jérôme;SRC;Charente;
139;ADAPEI - Esat Les Iris;20000;607193;ERRANTE Sophie;SRC;Loire-Atlantique;
140;ADAPEI du Pays de Montbéliard;5000;267576;BONNOT Marcel;UMP;Doubs;
141;ADAPIC;1000;609520;POMPILI Barbara;ECOLO;Somme;
142;ADATE – Migration Equité Interculturalité;3000;332384;ISSINDOU Michel;SRC;Isère;
143;ADCLJC ;15000;2859;VAILLANT Daniel;SRC;Paris;
144;ADCPG-CATM ;3000;642987;BACHELAY Guillaume;SRC;Seine-Maritime;
145;ADEF Association de Développement des Emplois Familiaux;10000;;
146;ADELI;2000;608276;ALAUX Sylviane;SRC;Pyrénées-Atlantiques;
147;ADEPAPE;2000;267378;LEVY Geneviève;UMP;Var;
148;ADESCA;10000;1886;Seine-Saint-Denis;
150;ADICOME;2000;330613;JIBRAYEL Henri;SRC;Bouches-du-Rhône;
151;ADIEU VAT;5000;643145;VAINQUEUR-CHRISTOPHE  Hélène;SRC;Guadeloupe;
152;ADIF 79;3000;345994;DRAPEAU Jean-Luc;SRC;Deux-Sèvres;
153;ADIRA;1000;267266;CENSI Yves;UMP;Aveyron;
154;Adis;4000;332747;de RUGY François;ECOLO;Loire-Atlantique;
155;Aditus;2000;608920;DAGOMA Seybah;SRC;Paris;
156;ADMR;3000;334149;FASQUELLE Daniel;UMP;Pas-de-Calais;
157;ADMR;10000;606693;LE CALLENNEC Isabelle;UMP;Ille-et-Vilaine;
158;ADMR;1000;2345;PELISSARD Jacques;UMP;Jura;
159;ADMR;4000;2693;SAUVAN Gilbert;SRC;Alpes-de-Haute-Provence;
160;ADMR BUZANCY;1000;2952;WARSMANN Jean-Luc;UMP;Ardennes;
161;ADMR de Corps;3000;342415;BATTISTEL Marie-Noëlle;SRC;Isère;
162;ADMR Les 3 vallées;1000;267429;CINIERI Dino;UMP;Loire;
163;ADMR Nérac;5000;607283;LOUSTEAU Lucette;SRC;Lot-et-Garonne;
164;ADMR Portes de l'Isère;1000;2250;MOYNE-BRESSAND Alain;UMP;Isère;
165;ADMR SEDAN;1000;2952;WARSMANN Jean-Luc;UMP;Ardennes;
166;ADOC 94;3000;1630;HERBILLON Michel;UMP;Val-de-Marne;
167;ADOCCE 28;1500;331582;VIGIER Philippe ;UDI;Eure-et-Loir;
168;ADOS;15000;2859;VAILLANT Daniel;SRC;Paris;
169;ADP - Chapelle de l'Agneau de Dieu;10000;543;BLOCHE Patrick;SRC;Paris;
170;ADPC 83 (Association Départementale Protection Civile);3000;267378;LEVY Geneviève;UMP;Var;
171;ADPEIBA;1000;606478;FOULON Yves;UMP;Gironde;
172;ADPPS;1500;230329;LAMOUR Jean-François;UMP;Paris;
173;ADRASEC;1000;267204;SERMIER Jean-Marie;UMP;Jura;
174;ADSF;1000;267148;GILARD Franck;UMP;Eure;
175;Advocacy Basse Normandie ;3000;1198;DUMONT Laurence;SRC;Calvados;
176;AEIM;10000;333335;FERON Hervé;SRC;Meurthe-et-Moselle;
177;AEP NDC Montparnasse Rencontres;2000;609016;BAUPIN Denis;ECOLO;Paris;
178;AEPB;7000;609365;GUAINO Henri;UMP;Yvelines;
179;Aero Club;1000;2250;MOYNE-BRESSAND Alain;UMP;Isère;
180;AERO CLUB d'Issoudun;4000;606745;BRUNEAU Isabelle;SRC;Indre;
181;Aéroclub de Crépy Feigneux;1000;1031;DEGAUCHY Lucien;UMP;Oise;
182;Aéroclub de Valberg;2000;267680;GINESY Charles-Ange;UMP;Alpes-Maritimes;
183;Aéroclub du Haut-Bugey;1000;605036;ABAD Damien;UMP;Ain;
184;AFAC ;2000;331753;LEMORTON Catherine;SRC;Haute-Garonne;
185;AFAV;2500;610002;SAS Eva;ECOLO;Essonne;
186;AFBTAR Tel-Aviv;21320;610954;POZNANSKI-BENHAMOU Daphna;SRC;Français établis hors de France;
187;AFC Perpignan;4000;608310;CRESTA Jacques;SRC;Pyrénées-Orientales;
188;AFCM;10000;332305;GILLE Jean-Patrick;SRC;Indre-et-Loire;
189;AFDI Bretagne;1000;607619;MOLAC Paul;ECOLO;Morbihan;
190;AFFE;3000;608186;AUROI Danielle;ECOLO;Puy-de-Dôme;
191;AFICH;40000;331807;MARTINEL Martine;SRC;Haute-Garonne;
192;Aficio Catalana;1500;608348;AYLAGAS Pierre;SRC;Pyrénées-Orientales;
193;AFLO D'Odratzheim;1000;266774;FURST Laurent;UMP;Bas-Rhin;
194;AFN du Mont-Saxonnex ;1000;267527;SADDIER Martial;UMP;Haute-Savoie;
195;AFN Marnaz-Vougy ;1000;267527;SADDIER Martial;UMP;Haute-Savoie;
196;AFNOL - Association des Familles du Nord-Ouest de Lille;1000;1001;DAUBRESSE Marc-Philippe;UMP;Nord;
197;AFPFES;1000;267591;FENECH Georges;UMP;Rhône;
198;AFSA FOOT D'ARMENTIERES;1000;606299;MOUDENC Jean-Luc;UMP;Haute-Garonne;
199;AFSNI Haïfa;5053;610954;POZNANSKI-BENHAMOU Daphna;SRC;Français établis hors de France;
200;AFTC;2000;605963;ALAUZET Eric;ECOLO;Doubs;
201;AGEMLAM - Association Génération musicales de Lambersart;1000;1001;DAUBRESSE Marc-Philippe;UMP;Nord;
202;Agence de mobilités du Nord-Isère;2000;2250;MOYNE-BRESSAND Alain;UMP;Isère;
203;Agence locale pour l'Economie (ALPE) ;6000;267336;GIRAUD Joël;RRDP;Hautes-Alpes;
204;Agir au cœur de la Penne;10000;1029;DEFLESSELLES Bernard;UMP;Bouches-du-Rhône;
205;Agir ensemble;5000;606202;DUMAS Françoise;SRC;Gard;
206;Agir pour apprendre;6000;381;BARTOLONE Claude;SRC;Seine-Saint-Denis;
207;Agir pour l'Environnement;15000;;
208;Agir pour nos Eglises;1600;606888;BARBIER Jean-Pierre;UMP;Isère;
209;Agir pour Saint Chef;1000;2250;MOYNE-BRESSAND Alain;UMP;Isère;
210;Agisse;1000;334906;MEUNIER Philippe;UMP;Rhône;
211;AGM (Association Gymnique de Montredon);2000;2815;TIAN Dominique;UMP;Bouches-du-Rhône;
212;Agneau fermier du Quercy;4500;;
213;Agora FM;2000;267680;GINESY Charles-Ange;UMP;Alpes-Maritimes;
214;Agora Justice;30000;331594;URVOAS Jean-Jacques;SRC;Finistère;
215;AGPR (Agir Pour Réussir);6000;610594;LEFEBVRE Dominique;SRC;Val-d'Oise;
216;AGRENABA;1000;1695;JACOB Christian;UMP;Seine-et-Marne;
217;Agro Bio Périgord;7000;605922;ALLAIN Brigitte;ECOLO;Dordogne;
218;AGV Lourmel;1000;1521;GOUJON Philippe;UMP;Paris;
219;AHPPV;2000;606910;BONNETON Michèle;ECOLO;Isère;
220;AHSOL - Association Personnes Handicapées du Sud Ouest Lyonnais;1000;267591;FENECH Georges;UMP;Rhône;
221;AHVES;5000;605830;BOUZIANE Kheira;SRC;Côte-d'Or;
232;Aid'Oise;17000;1031;DEGAUCHY Lucien;UMP;Oise;
222;Aide à Domicile en Milieu Rural Sain Bel - Savigny;5000;334843;VERCHERE Patrice;UMP;Rhône;
223;Aide et action en Isère;3000;606910;BONNETON Michèle;ECOLO;Isère;
224;AIDE ET ACTION en Isère;2000;642788;VERAN Olivier;SRC;Isère;
225;Aide Humanitaire des Sapeurs Pompiers Grasse-Menton;2000;1574;GUIBAL Jean-Claude;UMP;Alpes-Maritimes;
226;AIDES;3000;608186;AUROI Danielle;ECOLO;Puy-de-Dôme;
227;AIDES;7000;610860;CORONADO Sergio;ECOLO;Français établis hors de France;
228;AIDES;5000;334768;TOURAINE Jean-Louis;SRC;Rhône;
229;AIDES Gard;3500;606258;CAVARD Christophe;ECOLO;Gard;
230;AIDIPHIS;2000;335758;RIESTER Franck;UMP;Seine-et-Marne;
233;AIFOMEJ;1000;606299;MOUDENC Jean-Luc;UMP;Haute-Garonne;
234;Aïkido Club du Vignoble;1000;266774;FURST Laurent;UMP;Bas-Rhin;
235;Aikido Cranves-Sales;2000;608826;DUBY-MULLER Virginie;UMP;Haute-Savoie;
236;Ail de la belle de mai;5000;605426;MENNUCCI Patrick;SRC;Bouches-du-Rhône;
237;AIL Manissieux;1000;334906;MEUNIER Philippe;UMP;Rhône;
238;Ailes Argentanaises ;4000;608038;GOASDOUE Yves;SRC;Orne;
239;AIMA;10000;608264;CAPDEVIELLE Colette;SRC;Pyrénées-Atlantiques;
240;Aime la vie;3000;267605;PECRESSE Valérie;UMP;Yvelines;
241;Aimer lire;1000;334906;MEUNIER Philippe;UMP;Rhône;
242;Aimer lire en Haute Vallée de Chevreuse;3000;267605;PECRESSE Valérie;UMP;Yvelines;
243;Ain Sud Foot;1000;1012;DE LA VERPILLIERE Charles;UMP;Ain;
244;Ainés ruraux du tarn;5000;336112;VALAX Jacques;SRC;Tarn;
245;Aires10;15000;608920;DAGOMA Seybah;SRC;Paris;
246;AIS - Centre médical international;4000;610968;AMIRSHAHI Pouria;SRC;Français établis hors de France;
247;AITEC;4000;610860;CORONADO Sergio;ECOLO;Français établis hors de France;
248;Aix en oeuvres;15000;605557;CIOT Jean-David;SRC;Bouches-du-Rhône;
249;AJC;3000;330684;BOYER Valérie;UMP;Bouches-du-Rhône;
250;AJC Carmaux;3000;336112;VALAX Jacques;SRC;Tarn;
251;AJGE;10000;2073;MARIANI Thierry;UMP;Français établis hors de France;
252;AJMI;5000;609691;FOURNIER-ARMAND Michèle;SRC;Vaucluse;
253;AJN;10000;610291;HAMMADI Razzy;SRC;Seine-Saint-Denis;
254;AL Fayol Gaffard section billard;1000;267429;CINIERI Dino;UMP;Loire;
255;ALAK - Association Loisirs et Animations de Krautergersheim;1000;266774;FURST Laurent;UMP;Bas-Rhin;
256;Alauda;1000;334906;MEUNIER Philippe;UMP;Rhône;
257;Albarine Foot Jeunes d'Ambutrix;1000;1012;DE LA VERPILLIERE Charles;UMP;Ain;
258;ALBEU (Avenir Laic Bachut Etats Unis);5000;334768;TOURAINE Jean-Louis;SRC;Rhône;
259;ALBG;1500;267628;KOSCIUSKO-MORIZET Nathalie;UMP;Essonne;
260;Alccol Assistance Haute Normandie;1500;2236;MORIN Hervé ;UDI;Eure;
261;ALCOOL ASSISTANCE;2000;605261;BUIS Sabine;SRC;Ardèche;
262;Alcool Assistance 29 - La Croix d'or;1500;331658;LE LOCH Annick;SRC;Finistère;
263;Alcool assistance de l'Hérault;1200;606545;ROUMÉGAS Jean-Louis;ECOLO;Hérault;
264;Alcool et assistance;1500;608695;UNTERMAIER Cécile;SRC;Saône-et-Loire;
265;Alcor;1000;345937;POISSON Jean-Frédéric;UMP;Yvelines;
266;ALDEBARAN - Création contemporaine;1000;606573;DOMBRE COSTE Fanny;SRC;Hérault;
267;Aldebertus;1000;267429;CINIERI Dino;UMP;Loire;
268;Alerte Evron;1000;642844;PICHOT Sylvie;SRC;Mayenne;
269;ALGM Basket;5000;334768;TOURAINE Jean-Louis;SRC;Rhône;
270;ALGM Omnisport;11000;608495;BRAILLARD Thierry;RRDP;Rhône;
271;Allez Béziers - Passion d'un peuple;1000;267457;ABOUD Élie;UMP;Hérault;
272;Allez Beziers-Passion d'un peuple;1000;267457;ABOUD Élie;UMP;Hérault;
273;Allez les Filles;5000;2707;SCHNEIDER André;UMP;Bas-Rhin;
274;Alliance 33-Sud Bassin;1000;606478;FOULON Yves;UMP;Gironde;
275;Alliance des familles d'Uppsala (Suède);3000;610873;LEMAIRE Axelle;SRC;Français établis hors de France;
276;Alliance Française de Boston et Cambridge;1000;610850;NARASSIGUIN Corinne;SRC;Français établis hors de France;
277;Alliance française de Chisinau;20000;2073;MARIANI Thierry;UMP;Français établis hors de France;
278;Alliance française de Gainesville;1000;610850;NARASSIGUIN Corinne;SRC;Français établis hors de France;
279;Alliance française de Kuala Lumpur;45000;2073;MARIANI Thierry;UMP;Français établis hors de France;
280;Alliance française de la Nouvelle-Orléans;5000;610850;NARASSIGUIN Corinne;SRC;Français établis hors de France;
281;Alliance Française de Lisbonne;15000;610905;LEROY Arnaud;SRC;Français établis hors de France;
282;Alliance française de Portland ;1000;610850;NARASSIGUIN Corinne;SRC;Français établis hors de France;
283;Alliance française de Puerto Rico;6000;610850;NARASSIGUIN Corinne;SRC;Français établis hors de France;
284;Alliance française de San Francisco;3000;610850;NARASSIGUIN Corinne;SRC;Français établis hors de France;
285;Alliance française de Seattle;3000;610850;NARASSIGUIN Corinne;SRC;Français établis hors de France;
286;Alliance Goële Plaine de France 77;2000;243;ALBARELLO Yves;UMP;Seine-et-Marne;
287;Alliance Judo 54;5000;333335;FERON Hervé;SRC;Meurthe-et-Moselle;
288;Alliance Judo 59;1500;607769;PAUVROS Rémi;SRC;Nord;
289;Alliance savinoise;4000;330613;JIBRAYEL Henri;SRC;Bouches-du-Rhône;
290;Alliance Sens Gymnastique ;1000;336576;FORT Marie-Louise;UMP;Yonne;
291;Alliance Sens Judo;1000;336576;FORT Marie-Louise;UMP;Yonne;
292;Allo stop Alcool;1000;267527;SADDIER Martial;UMP;Haute-Savoie;
293;ALM Basket;2500;334906;MEUNIER Philippe;UMP;Rhône;
294;ALOJEC;18500;267278;MARTIN Philippe;SRC;Gers;
295;Alphab'Aide;1100;609816;MASSONNEAU Véronique;ECOLO;Vienne;
296;ALR9 - Association Loisirs Retraites 9è;11000;608495;BRAILLARD Thierry;RRDP;Rhône;
297;ALSH La Cabane des Robinsons;1000;267285;WAUQUIEZ Laurent;UMP;Haute-Loire;
298;Alter-médias;10000;;
299;Alternat;10000;610002;SAS Eva;ECOLO;Essonne;
300;Alternative;2500;1710;JANQUIN Serge;SRC;Pas-de-Calais;
301;AMAP du pays de St Marcellin;1100;606910;BONNETON Michèle;ECOLO;Isère;
302;AMAVIP Association de médiation et d'aide aux victimes d'infractions pénales ;10000;608672;THÉVENOUD Thomas;SRC;Saône-et-Loire;
303;Ambarrois Tennis Club;1000;605036;ABAD Damien;UMP;Ain;
304;Amberieu Marathon;1000;605036;ABAD Damien;UMP;Ain;
305;Amberieu Natation;1000;605036;ABAD Damien;UMP;Ain;
306;Amberieu Rugby XV;1400;605036;ABAD Damien;UMP;Ain;
307;Ambition Cyclisme Femin'Ain;1000;605036;ABAD Damien;UMP;Ain;
308;AMI;1500;267378;LEVY Geneviève;UMP;Var;
309;Amical Club Sportif de Saint Roch;1000;330240;CIOTTI Eric;UMP;Alpes-Maritimes;
310;Amicale "Vivre en sérénité";5000;2317;PAJON Michel;SRC;Seine-Saint-Denis;
311;Amicale Bel Air (Amicale de Locataires);1000;267327;MESLOT Damien;UMP;Territoire-de-Belfort;
312;Amicale Body Building Club Foyal Didier ;3000;337483;LETCHIMY Serge;SRC;Martinique;
313;Amicale Boules Groissiat-Martignat;1000;605036;ABAD Damien;UMP;Ain;
314;Amicale Bouliste de Porticcio ;2000;267689;de ROCCA SERRA Camille;UMP;Corse-du-Sud;
315;Amicale bouliste de Saint-Giniez;1500;2815;TIAN Dominique;UMP;Bouches-du-Rhône;
316;Amicale bouliste des arènes de Lutèce;2000;1310;FILLON François;UMP;Paris;
317;Amicale Bouliste Dromel;1000;2796;TEISSIER Guy;UMP;Bouches-du-Rhône;
318;Amicale CNL - Poissy Rénovation et Social;2000;422119;DOUILLET David;UMP;Yvelines;
319;Amicale Concorde;1000;1857;LAZARO Thierry;UMP;Nord;
320;Amicale cycliste bisontine;2000;605963;ALAUZET Eric;ECOLO;Doubs;
321;Amicale Cyclotourisme de la Banlieue est (ACBE);1000;746;CARREZ Gilles;UMP;Val-de-Marne;
322;Amicale de Grandfontaine;1000;266774;FURST Laurent;UMP;Bas-Rhin;
329;Amicale de l'Ecole de Rosenwiller;1000;266774;FURST Laurent;UMP;Bas-Rhin;
330;Amicale de l'Harmonie Municipale de Phalempin;1000;1857;LAZARO Thierry;UMP;Nord;
323;Amicale de la Campagne Ripert;1000;2796;TEISSIER Guy;UMP;Bouches-du-Rhône;
324;Amicale de la Compagnie de Gendarmerie de Draguignan;1000;314;AUDIBERT TROIN Olivier;UMP;Var;
325;AMICALE DE LA COTE PAVEE;1000;606299;MOUDENC Jean-Luc;UMP;Haute-Garonne;
326;Amicale de la pêche Algolsheim;5000;334654;STRAUMANN Eric;UMP;Haut-Rhin;
327;Amicale de la Police ;1500;267057;LETT Céleste;UMP;Moselle;
328;Amicale de la police municipale;1000;267794;TABAROT Michèle;UMP;Alpes-Maritimes;
